"""TLA011139""",3,KT21,7.1875
"""TLA011139""",4,KT12,7.1875
"""ABC010742""",1,KT31,7.125
"""TLA087736""",1,KT51,6.33333333333333
"""TLA087736""",2,CN3,5.75
"""TLA087736""",3,KT41,6.33333333333333
"""SPB018651""",1,KT21,6.25
"""SPB018651""",2,KT12,6.25
"""SPB018651""",3,CN2,6.25
"""SPB018651""",4,TA2,6.0
"""CON011673""",1,KT22,6.0625
"""ABC055522""",1,KT21,6.625
"""ABC055522""",2,KT22,6.625
"""ABC055522""",3,KT23,6.625
"""TMA076460""",1,TA1,5.3125
"""ABC087172""",1,KT33,7.4375
"""TLA019883""",1,KT21,7.4375
"""TLA019883""",2,KT12,7.4375
"""TLA019883""",3,CN2,7.4375
"""TLA019883""",4,KT22,7.4375
"""ABC007343""",1,KT41,7.75
"""ABC007343""",2,KT14,7.625
"""ABC007343""",3,KT12,7.625
"""ABC007343""",4,KT23,7.625
"""ABC012430""",1,KT21,6.6875
"""ABC012430""",2,CN2,6.6875
"""ABC012430""",3,KT11,6.6875
"""KTA051155""",1,CN2,7.5625
"""KTA051155""",2,KT22,7.5625
"""KTA051155""",3,KT21,7.5625
"""KTA051155""",4,KT12,7.5625
"""TLA031657""",1,KT31,6.875
"""TLA031657""",2,KT13,6.875
"""TLA031657""",3,CN1,6.875
"""TLA031657""",4,KT22,6.875
"""BKT024180""",1,KT21,6.0
"""BKT024180""",2,CN1,6.0
"""BKT024180""",3,KT12,6.0
"""TLA040355""",1,KT21,7.0625
"""TLA040355""",2,KT22,7.0625
"""TLA040355""",3,KT12,7.0625
"""KTA094558""",1,KT22,5.9375
"""KTA094558""",2,CN1,5.9375
"""KTA094558""",3,KT31,5.9375
"""KTA094558""",4,KT21,5.9375
"""CON028125""",1,CN2,7.5
"""CON028125""",2,KT12,7.5
"""CON028125""",3,KT31,7.5
"""CON028125""",4,TA1,5.8125
"""CON046101""",1,KT21,7.0625
"""CON046101""",2,KT22,7.0625
"""CON046101""",3,KT52,6.75
"""CON046101""",4,KT11,7.0625
"""CON050022""",1,KT41,6.58333333333333
"""CON050022""",2,KQ2,5.75
"""SPB021004""",1,KT12,8.25
"""SPB021004""",2,KT31,8.25
"""SPB021004""",3,KT21,8.25
"""SPB021004""",4,KT11,8.25
"""CON068103""",1,KT22,7.125
"""CON068103""",2,KT21,7.125
"""CON068103""",3,KT13,7.125
"""CON068103""",4,KT23,7.125
"""KTA009492""",1,TA1,6.875
"""KTA048857""",1,KT21,6.0625
"""KTA048857""",2,KT22,6.0625
"""KTA048857""",3,KT12,6.0625
"""ABC046699""",1,KT21,7.875
"""ABC046699""",2,CN2,7.875
"""ABC046699""",3,KQ2,8.25
"""ABC046699""",4,KT11,7.875
"""BKT046996""",1,KT31,7.0625
"""BKT046996""",2,KT13,7.0625
"""BKT046996""",3,KT21,7.0625
"""BKT046996""",4,KT12,7.0625
"""BKT001471""",1,KT22,7.5625
"""BKT001471""",2,KT21,7.5625
"""BKT001471""",3,KT11,7.5625
"""BKT001471""",4,CN3,7.5625
"""TMA005306""",1,KT12,7.3125
"""TMA005306""",2,KT21,7.3125
"""TMA005306""",3,KT22,7.3125
"""TMA005306""",4,KT11,7.3125
"""TLA029835""",1,KT12,7.4375
"""TLA029835""",2,KT13,7.4375
"""TLA029835""",3,KT23,7.4375
"""TLA029835""",4,KT21,7.4375
"""KTA002016""",1,KT12,7.875
"""KTA002016""",2,KT23,7.875
"""TLA094731""",1,KT21,7.5625
"""TLA094731""",2,CN2,7.5625
"""TLA094731""",3,KT22,7.5625
"""TLA094731""",4,KT12,7.5625
"""TMA052676""",1,KT31,6.625
"""TMA052676""",2,KT21,7.4375
"""TMA052676""",3,KT22,7.4375
"""TMA052676""",4,KT41,6.33333333333333
"""TLA091938""",1,KT22,7.3125
"""TLA091938""",2,KT31,7.3125
"""TLA091938""",3,CN2,7.3125
"""SPB013494""",1,KT31,8.8125
"""SPB013494""",2,KT21,8.8125
"""SPB013494""",3,KT11,8.8125
"""SPB013494""",4,KT51,8.91666666666667
"""ABC034696""",1,KT31,8.5625
"""ABC034696""",2,KQ1,8.16666666666667
"""ABC034696""",3,KT51,8.33333333333333
"""KTA024284""",1,KT12,8.0625
"""KTA024284""",2,KT41,7.75
"""KTA024284""",3,KT31,8.0625
"""KTA024284""",4,CN2,8.0625
"""CON037159""",1,KT13,8.75
"""CON037159""",2,KT21,8.75
"""CON037159""",3,KT22,8.75
"""CON037159""",4,KT33,8.0
"""SPB007349""",1,KT31,6.625
"""SPB007349""",2,CN1,6.1875
"""SPB007349""",3,KT21,6.1875
"""SPB007349""",4,KT23,6.1875
"""BKT013741""",1,KT31,6.125
"""TLA070825""",1,KT22,6.4375
"""TLA070825""",2,KT21,6.4375
"""TLA070825""",3,CN2,6.4375
"""ABC058986""",1,QT11,6.91666666666667
"""ABC058986""",2,KT21,7.25
"""ABC058986""",3,KT13,7.25
"""ABC058986""",4,KT11,7.25
"""TLA047109""",1,KT22,7.125
"""TLA047109""",2,KT21,7.125
"""TLA047109""",3,KT31,7.125
"""TLA047109""",4,CN1,7.125
"""TLA097269""",1,KT31,6.75
"""ABC049413""",1,KT21,6.0625
"""ABC049413""",2,CN1,6.0625
"""SPB075890""",1,KT21,6.8125
"""SPB075890""",2,QT14,6.75
"""SPB075890""",3,CN1,6.8125
"""SPB075890""",4,KT11,6.8125
"""KTA076641""",1,KT21,6.3125
"""KTA076641""",2,KT22,6.3125
"""KTA076641""",3,CN2,6.3125
"""KTA076641""",4,KT12,6.3125
"""CON068390""",1,KT31,7.0
"""CON068390""",2,KQ2,6.75
"""TMA093060""",1,KQ3,6.83333333333333
"""CON016924""",1,KT31,6.125
"""CON016924""",2,KT21,6.125
"""CON016924""",3,KT51,6.16666666666667
"""CON016924""",4,CN1,6.125
"""TLA056513""",1,KT21,6.0
"""TLA056513""",2,KT22,6.0
"""TLA056513""",3,CN2,6.0
"""TLA056513""",4,KT12,6.0
"""SPB082776""",1,KT31,5.75
"""SPB097329""",1,CN3,6.9375
"""TLA061755""",1,KT31,7.0
"""TLA061755""",2,CN1,7.0
"""TLA061755""",3,KT33,7.0
"""TLA061755""",4,CN2,7.0
"""TMA050292""",1,KT41,6.66666666666667
